16S_NC_086922.1:1092-2771	Clupeonella abrau
LC508548.1	Variola albimarginata
LC508547.1	Variola albimarginata
LC508546.1	Variola albimarginata
LC508545.1	Variola albimarginata
LC508544.1	Variola albimarginata
LC508543.1	Variola albimarginata
LC508542.1	Variola albimarginata
LC508541.1	Variola albimarginata
LC508540.1	Variola albimarginata
LC508539.1	Variola albimarginata
LC508538.1	Variola albimarginata
LC508537.1	Variola albimarginata
LC508536.1	Variola albimarginata
LC508535.1	Variola albimarginata
LC508534.1	Variola albimarginata
LC508533.1	Variola albimarginata
LC508532.1	Variola albimarginata
LC508531.1	Variola albimarginata
LC508530.1	Variola albimarginata
LC508529.1	Variola albimarginata
LC508528.1	Variola albimarginata
LC508527.1	Variola albimarginata
LC508526.1	Plectropomus leopardus
LC508525.1	Plectropomus leopardus
LC508524.1	Plectropomus leopardus
LC508523.1	Plectropomus leopardus
LC508522.1	Plectropomus leopardus
LC508521.1	Plectropomus leopardus
LC508520.1	Plectropomus leopardus
LC508519.1	Plectropomus leopardus
LC508518.1	Plectropomus leopardus
LC508517.1	Plectropomus leopardus
LC508516.1	Plectropomus leopardus
LC508515.1	Plectropomus leopardus
LC508514.1	Plectropomus leopardus
LC508513.1	Plectropomus leopardus
LC508512.1	Plectropomus leopardus
LC508511.1	Plectropomus leopardus
LC508510.1	Plectropomus leopardus
LC508509.1	Plectropomus leopardus
LC508508.1	Plectropomus leopardus
LC508507.1	Plectropomus leopardus
LC508506.1	Plectropomus leopardus
LC508505.1	Plectropomus leopardus
LC508504.1	Plectropomus leopardus
LC508503.1	Lutjanus fulviflamma
LC508502.1	Lutjanus fulviflamma
LC508501.1	Lutjanus fulviflamma
LC508500.1	Lutjanus fulviflamma
LC508499.1	Lutjanus fulviflamma
LC508498.1	Lutjanus fulviflamma
LC508497.1	Lutjanus fulviflamma
LC508496.1	Lutjanus fulviflamma
LC508495.1	Lutjanus fulviflamma
LC508494.1	Lutjanus fulviflamma
LC508493.1	Lutjanus fulviflamma
LC508492.1	Lutjanus fulviflamma
LC508491.1	Lutjanus fulviflamma
LC508490.1	Lutjanus fulviflamma
LC508488.1	Lutjanus fulviflamma
LC508486.1	Lutjanus fulviflamma
LC508485.1	Lutjanus fulviflamma
LC508484.1	Lutjanus fulviflamma
LC508483.1	Lutjanus fulviflamma
LC508482.1	Lutjanus fulviflamma
LC508481.1	Lutjanus fulviflamma
LC508480.1	Lutjanus gibbus
LC508479.1	Lutjanus monostigma
LC508478.1	Lutjanus monostigma
LC508477.1	Lutjanus monostigma
LC508476.1	Lutjanus monostigma
LC508475.1	Lutjanus monostigma
LC508474.1	Lutjanus monostigma
LC508473.1	Lutjanus monostigma
LC508472.1	Lutjanus monostigma
LC508471.1	Lutjanus monostigma
LC049759.2	Rhinogobius brunneus
LC719269.1	Luciogobius guttatus
LC719268.1	Asterropteryx semipunctata
LC719267.1	Rhinogobius similis
LC719264.1	Rhinogobius brunneus
LC719263.1	Rhinogobius brunneus
LC719262.1	Rhinogobius nagoyae
AB205410.1	Ariomma indica
LC717966.1	Alcichthys elongatus
MT614249.1	Chaeturichthys stigmatias
MT614248.1	Chaeturichthys stigmatias
MT614247.1	Chaeturichthys stigmatias
MT614246.1	Chaeturichthys stigmatias
MT614245.1	Chaeturichthys stigmatias
MT614244.1	Chaeturichthys stigmatias
MT614243.1	Chaeturichthys stigmatias
MT614242.1	Chaeturichthys stigmatias
MT614241.1	Chaeturichthys stigmatias
MT614240.1	Chaeturichthys stigmatias
MT614239.1	Chaeturichthys stigmatias
MT614238.1	Chaeturichthys stigmatias
MT614237.1	Chaeturichthys stigmatias
MT614236.1	Chaeturichthys stigmatias
MT614235.1	Chaeturichthys stigmatias
MT614234.1	Chaeturichthys stigmatias
MT614233.1	Chaeturichthys stigmatias
MT614232.1	Chaeturichthys stigmatias
MT614231.1	Chaeturichthys stigmatias
MT614230.1	Chaeturichthys stigmatias
MT614229.1	Chaeturichthys stigmatias
MT614228.1	Chaeturichthys stigmatias
MT614227.1	Chaeturichthys stigmatias
MT614226.1	Chaeturichthys stigmatias
MT614225.1	Chaeturichthys stigmatias
MT614224.1	Chaeturichthys stigmatias
MT614223.1	Chaeturichthys stigmatias
MT614222.1	Chaeturichthys stigmatias
MT614221.1	Chaeturichthys stigmatias
MT614220.1	Chaeturichthys stigmatias
MT614213.1	Amblychaeturichthys hexanema
MT614212.1	Amblychaeturichthys hexanema
MT614211.1	Amblychaeturichthys hexanema
MT614210.1	Amblychaeturichthys hexanema
MT614209.1	Amblychaeturichthys hexanema
MT614208.1	Amblychaeturichthys hexanema
MT614207.1	Amblychaeturichthys hexanema
MT614206.1	Amblychaeturichthys hexanema
MT614205.1	Amblychaeturichthys hexanema
MT614204.1	Amblychaeturichthys hexanema
MT614203.1	Amblychaeturichthys hexanema
MT614202.1	Amblychaeturichthys hexanema
MT614201.1	Amblychaeturichthys hexanema
MT614200.1	Amblychaeturichthys hexanema
MT614199.1	Amblychaeturichthys hexanema
MT614198.1	Amblychaeturichthys hexanema
MT614197.1	Amblychaeturichthys hexanema
MT614196.1	Amblychaeturichthys hexanema
MT614195.1	Amblychaeturichthys hexanema
MT614194.1	Amblychaeturichthys hexanema
MT614193.1	Amblychaeturichthys hexanema
MT614192.1	Amblychaeturichthys hexanema
MT614191.1	Amblychaeturichthys hexanema
MT614190.1	Amblychaeturichthys hexanema
MT573280.1	Chaeturichthys stigmatias
MT573279.1	Chaeturichthys stigmatias
MT573278.1	Chaeturichthys stigmatias
MT573277.1	Chaeturichthys stigmatias
MT573276.1	Chaeturichthys stigmatias
MT573275.1	Chaeturichthys stigmatias
MT573274.1	Chaeturichthys stigmatias
MT573273.1	Chaeturichthys stigmatias
MT573272.1	Chaeturichthys stigmatias
MT573271.1	Chaeturichthys stigmatias
MT573270.1	Chaeturichthys stigmatias
MT573269.1	Chaeturichthys stigmatias
MT573268.1	Chaeturichthys stigmatias
MT573267.1	Chaeturichthys stigmatias
MT573266.1	Chaeturichthys stigmatias
MT573265.1	Chaeturichthys stigmatias
MT573264.1	Chaeturichthys stigmatias
MT573263.1	Chaeturichthys stigmatias
MT573262.1	Chaeturichthys stigmatias
MT573261.1	Chaeturichthys stigmatias
MT573260.1	Chaeturichthys stigmatias
MT573259.1	Chaeturichthys stigmatias
MT573258.1	Chaeturichthys stigmatias
MT573257.1	Chaeturichthys stigmatias
MT573256.1	Chaeturichthys stigmatias
MT573255.1	Chaeturichthys stigmatias
MT573254.1	Chaeturichthys stigmatias
MT573253.1	Chaeturichthys stigmatias
MT573252.1	Chaeturichthys stigmatias
MT573251.1	Chaeturichthys stigmatias
LC717562.1	Clariger cosmurus
LC717561.1	Bothrocara hollandi
LC717560.1	Rhinogobius nagoyae
LC717559.1	Rhinogobius nagoyae
LC717558.1	Rhinogobius nagoyae
LC717557.1	Saurida macrolepis
LC717556.1	Luciogobius martellii
LC717555.1	Luciogobius martellii
LC717554.1	Luciogobius parvulus
LC717553.1	Luciogobius parvulus
LC717552.1	Luciogobius parvulus
LC717551.1	Luciogobius parvulus
LC717550.1	Acanthogobius hasta
LC717549.1	Gymnogobius isaza
LC717548.1	Gymnogobius isaza
LC717546.1	Cirrhilabrus lanceolatus
LC717545.1	Amanses scopas
LC717544.1	Synodus hoshinonis
LC717543.1	Trachidermus fasciatus
LC717542.1	Gymnogobius uchidai
LC717541.1	Pseudogobius masago
LC717535.1	Pseudorhombus cinnamoneus
LC717534.1	Pseudorhombus arsius
LC717531.1	Hypseleotris cyprinoides
LC717530.1	Hypseleotris cyprinoides
LC717529.1	Tridentiger barbatus
LC717528.1	Doryrhamphus japonicus
LC717527.1	Sicyopterus japonicus
LC717526.1	Luciogobius guttatus
LC717525.1	Gerres equulus
LC717523.1	Myoxocephalus stelleri
LC717522.1	Omobranchus fasciolatoceps
LC717521.1	Plotosus japonicus
LC717520.1	Eleotris oxycephala
LC717519.1	Rhinogobius similis
LC717518.1	Rhinogobius similis
LC717517.1	Rhinogobius flumineus
LC717516.1	Rhinogobius flumineus
LC499436.2	Luciogobius parvulus
LC499435.2	Luciogobius platycephalus
MT573249.1	Amblychaeturichthys hexanema
MT573248.1	Amblychaeturichthys hexanema
MT573247.1	Amblychaeturichthys hexanema
MT573246.1	Amblychaeturichthys hexanema
MT573245.1	Amblychaeturichthys hexanema
MT573244.1	Amblychaeturichthys hexanema
MT573243.1	Amblychaeturichthys hexanema
MT573242.1	Amblychaeturichthys hexanema
MT573241.1	Amblychaeturichthys hexanema
MT573240.1	Amblychaeturichthys hexanema
MT573239.1	Amblychaeturichthys hexanema
MT573238.1	Amblychaeturichthys hexanema
MT573237.1	Amblychaeturichthys hexanema
MT573236.1	Amblychaeturichthys hexanema
MT573235.1	Amblychaeturichthys hexanema
MT573234.1	Amblychaeturichthys hexanema
MT573233.1	Amblychaeturichthys hexanema
MT573232.1	Amblychaeturichthys hexanema
MT573231.1	Amblychaeturichthys hexanema
MT573230.1	Amblychaeturichthys hexanema
MT573229.1	Amblychaeturichthys hexanema
MT573228.1	Amblychaeturichthys hexanema
MT573227.1	Amblychaeturichthys hexanema
MT573226.1	Amblychaeturichthys hexanema
AB741963.1	Pao cochinchinensis
ON185661.1	Etmopterus alphus
ON185660.1	Etmopterus benchleyi
ON185659.1	Etmopterus bigelowi
ON185658.1	Etmopterus bigelowi
ON185657.1	Etmopterus bigelowi
ON185656.1	Etmopterus bigelowi
ON185655.1	Etmopterus brachyurus
ON185654.1	Etmopterus brachyurus
ON185653.1	Etmopterus bullisi
ON185652.1	Etmopterus carteri
ON185649.1	Etmopterus compagnoi
ON185648.1	Etmopterus dianthus
ON185647.1	Etmopterus dislineatus
ON185646.1	Etmopterus evansi
ON185645.1	Etmopterus fusus
ON185644.1	Etmopterus gracilispinis
ON185643.1	Etmopterus litvinovi
ON185642.1	Etmopterus lucifer
ON185641.1	Etmopterus molleri
ON185639.1	Etmopterus polli
ON185638.1	Etmopterus princeps
ON185637.1	Etmopterus princeps
ON185636.1	Etmopterus pseudosqualiolus
ON185635.1	Etmopterus pusillus
ON185634.1	Etmopterus samadiae
ON185633.1	Etmopterus schultzi
ON185632.1	Etmopterus sculptus
ON185631.1	Etmopterus sculptus
ON185630.1	Etmopterus brosei
ON185629.1	Etmopterus brosei
ON185628.1	Etmopterus brosei
ON185627.1	Etmopterus sentosus
ON185624.1	Etmopterus viator
ON185623.1	Etmopterus virens
OK184026.1	Osteolaemus tetraspis
OM810368.1	Scincella lateralis
OM810367.1	Scincella lateralis
OM810366.1	Scincella lateralis
OM810365.1	Scincella lateralis
OM810364.1	Scincella lateralis
OM810363.1	Scincella lateralis
OM810362.1	Scincella lateralis
OM810361.1	Scincella lateralis
OM810360.1	Scincella lateralis
LC716658.1	Luciogobius punctilineatus
LC716657.1	Luciogobius punctilineatus
LC716656.1	Rhinogobius brunneus
LC716655.1	Rhinogobius similis
LC716654.1	Rhinogobius nagoyae
LC716653.1	Rhinogobius nagoyae
LC716652.1	Neobythites stigmosus
LC716651.1	Neobythites stigmosus
LC458186.2	Clariger cosmurus
LC385135.2	Rhinogobius fluviatilis
LC340233.2	Clariger cosmurus
LC327184.2	Clariger cosmurus
LC193346.2	Rhinogobius mizunoi
LC506631.2	Caranx ignobilis
LC604997.2	Chaenogobius gulosus
LC604985.2	Pterogobius elapoides
LC604983.2	Caranx sexfasciatus
LC552445.2	Caranx papuensis
LC552444.2	Caranx ignobilis
LC506692.2	Caranx papuensis
LC578977.2	Ophidion asiro
LC578976.2	Ophidion asiro
LC458188.2	Rhinogobius nagoyae
LC193343.2	Rhinogobius nagoyae
LC715470.1	Gymnocranius obesus
LC715469.1	Pterygotrigla multipunctata
LC715468.1	Pagrus major
LC715466.1	Oxyporhamphus micropterus
LC715465.1	Coelorinchus hige
LC715464.1	Lethrinus amboinensis
LC715463.1	Platycephalus indicus
LC715462.1	Gymnogobius castaneus
LC715461.1	Gymnogobius heptacanthus
LC715460.1	Gymnogobius heptacanthus
LC715458.1	Neobythites unimaculatus
LC715457.1	Neobythites stigmosus
LC715456.1	Neobythites stigmosus
LC715455.1	Neobythites stigmosus
LC715454.1	Neobythites stigmosus
LC715453.1	Neobythites stigmosus
LC715452.1	Neobythites stigmosus
LC715451.1	Neobythites stigmosus
LC715450.1	Neobythites stigmosus
LC715449.1	Neobythites stigmosus
LC715448.1	Neobythites stigmosus
LC715447.1	Neobythites stigmosus
LC715446.1	Neobythites stigmosus
LC713510.1	Bothrocara hollandi
LC713509.1	Rhinogobius nagoyae
LC713508.1	Halieutaea stellata
LC713507.1	Rhinogobius flumineus
LC193436.2	Rhinogobius brunneus
LC145875.2	Prionobutis microps
LC069761.2	Butis amboinensis
LC069760.2	Butis koilomatodon
LC069759.2	Butis humeralis
LC712383.1	Centropyge fisheri
LC712382.1	Upeneus japonicus
LC712381.1	Eviota abax
LC712380.1	Cottus kazika
LC712378.1	Cociella crocodilus
LC710311.1	Fowlerichthys scriptissimus
LC710310.1	Promethichthys prometheus
LC710309.1	Promethichthys prometheus
LC710308.1	Leucopsarion petersii
LC710307.1	Leucopsarion petersii
LC710306.1	Diaphus chrysorhynchus
LC710305.1	Parapercis multifasciata
LC710304.1	Enneapterygius etheostomus
LC710301.1	Kyonemichthys rumengani
LC710300.1	Acanthurus nigros
LC710299.1	Thamnaconus fijiensis
LC710298.1	Thamnaconus fijiensis
LC710297.1	Takifugu rubripes
LC710295.1	Neobythites stigmosus
LC710294.1	Gymnogobius uchidai
LC710293.1	Gymnogobius uchidai
LC710292.1	Gymnogobius uchidai
LC710288.1	Gymnogobius petschiliensis
LC710287.1	Periophthalmus modestus
LC710286.1	Tridentiger bifasciatus
LC710285.1	Gymnogobius breunigii
LC710284.1	Mugilogobius abei
LC710283.1	Bathyraja diplotaenia
LC710282.1	Bathyraja trachouros
LC710281.1	Hygophum proximum
LC710280.1	Halieutaea stellata
LC710279.1	Plectranthias yamakawai
LC710278.1	Odontanthias borbonius
LC710276.1	Deania calcea
LC710275.1	Ophisurus macrorhynchos
LC710274.1	Acanthopagrus sivicolus
LC710273.1	Sebastiscus tertius
LC710271.1	Oxyurichthys takagi
MT609302.1	Sphenomorphus maculatus
MT609301.1	Sphenomorphus maculatus
MT609300.1	Sphenomorphus maculatus
MT609299.1	Sphenomorphus maculatus
MT609298.1	Sphenomorphus maculatus
MT609297.1	Sphenomorphus maculatus
MT609296.1	Sphenomorphus maculatus
MT609295.1	Sphenomorphus maculatus
MT609294.1	Sphenomorphus maculatus
MT609293.1	Sphenomorphus maculatus
MT609292.1	Sphenomorphus maculatus
MT609291.1	Sphenomorphus maculatus
MT609290.1	Sphenomorphus maculatus
MT609289.1	Sphenomorphus maculatus
MT609288.1	Sphenomorphus maculatus
MT609287.1	Sphenomorphus maculatus
MT609286.1	Sphenomorphus maculatus
MT609285.1	Sphenomorphus maculatus
MT609284.1	Sphenomorphus maculatus
MT609283.1	Sphenomorphus maculatus
MT609282.1	Sphenomorphus maculatus
MT609281.1	Sphenomorphus maculatus
MT609280.1	Sphenomorphus maculatus
MT609279.1	Sphenomorphus maculatus
MT609278.1	Sphenomorphus maculatus
MT609277.1	Sphenomorphus maculatus
MT609276.1	Sphenomorphus maculatus
MT609275.1	Sphenomorphus maculatus
MT609274.1	Sphenomorphus maculatus
MT609273.1	Sphenomorphus maculatus
MT609272.1	Sphenomorphus maculatus
MT609271.1	Sphenomorphus indicus
MT608988.1	Lipinia vittigera
MT608880.1	Homalopsis mereljcoxi
MT608808.1	Eutropis multifasciata
MT608807.1	Eutropis multifasciata
MT608806.1	Eutropis multifasciata
MT608805.1	Eutropis multifasciata
MT608804.1	Eutropis multifasciata
MT608803.1	Eutropis multifasciata
MT608802.1	Eutropis multifasciata
MT608801.1	Eutropis multifasciata
MT608800.1	Eutropis multifasciata
MT608799.1	Eutropis multifasciata
MT608798.1	Eutropis multifasciata
MT608797.1	Eutropis multifasciata
MT608796.1	Eutropis multifasciata
MT608795.1	Eutropis multifasciata
MT608794.1	Eutropis multifasciata
MT608793.1	Eutropis multifasciata
MT608792.1	Eutropis multifasciata
MT608791.1	Eutropis macularia
MT608790.1	Eutropis macularia
MT608789.1	Eutropis macularia
MT608788.1	Eutropis macularia
MT608787.1	Eutropis macularia
MT608786.1	Eutropis macularia
MT608785.1	Eutropis macularia
MT608748.1	Dasia olivacea
MT608747.1	Dasia olivacea
MT608746.1	Dasia olivacea
MT608677.1	Calliophis bivirgatus
FJ460199.1	Gobius couchi
MZ061652.1	Praeteropus gowi
MZ061651.1	Praeteropus gowi
MZ061650.1	Praeteropus brevicollis
MZ061649.1	Praeteropus brevicollis
MZ061648.1	Praeteropus brevicollis
MZ061647.1	Praeteropus brevicollis
MW911763.1	Rastrelliger kanagurta
LC708246.1	Bathytoshia brevicaudata
LC708243.1	Hemigymnus fasciatus
LC708241.1	Synodus oculeus
LC708240.1	Lepidotrigla hime
LC708237.1	Dalatias licha
LC708236.1	Gymnothorax kidako
LC708234.1	Erythrocles schlegelii
LC708232.1	Diaphus chrysorhynchus
LC708231.1	Diaphus chrysorhynchus
LC708230.1	Sebastes matsubarae
LC708229.1	Sardinella aurita
LC708228.1	Sardinella aurita
LC708227.1	Sardinella aurita
LC708226.1	Hime formosanus
LC708225.1	Tridentiger brevispinis
LC708223.1	Pseudorhombus pentophthalmus
LC708221.1	Lophiodes insidiator
LC708220.1	Promethichthys prometheus
LC708219.1	Promethichthys prometheus
LC708218.1	Scarus ovifrons
LC708217.1	Galeus nipponensis
LC708216.1	Galeus eastmani
LC708215.1	Takifugu porphyreus
LC708214.1	Takifugu stictonotus
LC708209.1	Gymnogobius petschiliensis
LC708208.1	Gymnogobius petschiliensis
LC605001.2	Tridentiger obscurus
LC604988.2	Tridentiger obscurus
MW911759.1	Scomberomorus commerson
MW911758.1	Euthynnus affinis
ON417521.1	Anas crecca
ON417520.1	Anas crecca
ON417519.1	Anas crecca
ON417518.1	Anas crecca
ON417517.1	Anas crecca
ON417516.1	Anas crecca
ON417515.1	Anas crecca
ON417514.1	Anas crecca
ON417513.1	Anas crecca
ON417512.1	Anas crecca
ON417511.1	Anas crecca
ON417510.1	Anas crecca
ON417509.1	Anas crecca
ON417508.1	Anas crecca
ON417507.1	Anas crecca
ON417506.1	Anas crecca
ON417505.1	Anas crecca
ON417504.1	Anas crecca
ON417503.1	Anas crecca
ON417502.1	Anas crecca
ON417501.1	Anas crecca
ON417500.1	Anas crecca
ON417499.1	Anas crecca
ON417498.1	Anas crecca
ON417497.1	Anas crecca
ON417496.1	Anas crecca
ON417495.1	Anas crecca
ON417494.1	Anas crecca
ON417493.1	Anas crecca
ON417492.1	Anas crecca
ON417491.1	Anas crecca
ON417490.1	Anas crecca
ON417489.1	Anas crecca
ON417488.1	Anas crecca
ON417487.1	Anas crecca
ON417486.1	Anas crecca
ON417485.1	Anas crecca
ON417484.1	Anas crecca
ON417483.1	Anas crecca
ON417482.1	Anas crecca
ON417481.1	Anas crecca
ON417480.1	Anas crecca
ON417479.1	Anas crecca
ON417478.1	Anas crecca
ON417477.1	Anas crecca
ON417476.1	Anas crecca
ON417475.1	Anas crecca
LC458182.2	Eleutherochir mccaddeni
LC589588.2	Rhinogobius fluviatilis
LC579317.2	Sueviota lachneri
LC552525.2	Mangarinus waterousi
LC496231.2	Rhinogobius fluviatilis
LC146191.2	Neobythites bimaculatus
LC705337.1	Bathytoshia lata
LC681790.1	Hime formosanus
ON364131.1	Typhlias pearsei
ON364120.1	Ophisternon infernale
LC706439.1	Priacanthus sagittarius
LC706438.1	Priacanthus sagittarius
LC706437.1	Priacanthus sagittarius
MT048388.1	Squatina mapama
MT048387.1	Squatina mapama
ON000831.1	Stethojulis bandanensis
ON000827.1	Epibulus insidiator
ON000825.1	Cheilio inermis
LC699632.1	Anguilla bicolor
LC519405.2	Lutjanus gibbus
LC499281.2	Lutjanus stellatus
LC385213.2	Gymnothorax reevesii
LC278089.2	Lutjanus rivulatus
AB972218.2	Lutjanus stellatus
LC700335.1	Ocynectes modestus
LC700334.1	Choerodon azurio
MW595902.1	Rastrelliger brachysoma
MW595901.1	Sarda orientalis
MW595831.1	Thunnus tonggol
MW595824.1	Thunnus alalunga
MW595823.1	Thunnus albacares
MW595822.1	Katsuwonus pelamis
MW595821.1	Auxis rochei
MW595783.1	Auxis thazard
MW595782.1	Acanthocybium solandri
MW592835.1	Scomberomorus guttatus
MH140872.1	Micrurus stewarti
MH140871.1	Micrurus stewarti
MH140870.1	Micrurus stewarti
MH140869.1	Micrurus stewarti
MH140868.1	Micrurus nigrocinctus
MH140867.1	Micrurus nigrocinctus
MH140866.1	Micrurus nigrocinctus
MH140865.1	Micrurus nigrocinctus
MH140864.1	Micrurus nigrocinctus
MH140863.1	Micrurus nigrocinctus
MH140862.1	Micrurus mipartitus
MH140861.1	Micrurus mipartitus
MH140860.1	Micrurus dissoleucus
MH140859.1	Micrurus dissoleucus
MH140852.1	Marisora unimarginata
MH140851.1	Marisora unimarginata
MH140850.1	Marisora unimarginata
MH140849.1	Marisora unimarginata
MH140848.1	Marisora unimarginata
MH140847.1	Marisora unimarginata
LC698779.1	Chelonodontops patoca
LC698778.1	Lutjanus argentimaculatus
LC698772.1	Pterois lunulata
LC698770.1	Doederleinia berycoides
LC698769.1	Glyptocephalus kitaharae
LC698768.1	Pseudogobius masago
LC698767.1	Symbolophorus californiensis
LC685937.1	Brama pauciradiata
MW665128.1	Micrurus helleri
MW665127.1	Micrurus helleri
MW665126.1	Micrurus helleri
MW665125.1	Micrurus helleri
MW665124.1	Micrurus helleri
MW665123.1	Micrurus helleri
MW665122.1	Micrurus filiformis
MW665121.1	Micrurus filiformis
LC689123.1	Chaunax abei
LC689122.1	Chlorophthalmus albatrossis
LC689121.1	Luciogobius martellii
LC689120.1	Hippichthys penicillus
LC689124.1	Diaphus theta
LC689125.1	Inimicus japonicus
MW995387.1	Zoarces viviparus
MW995386.1	Trachipterus arcticus
MW995385.1	Symphodus melops
MW995384.1	Solea solea
MW995381.1	Schedophilus medusophagus
MW995379.1	Rajella lintea
MW995378.1	Pomatoschistus pictus
MW995377.1	Pomatoschistus microps
MW995376.1	Polyprion americanus
MW995375.1	Pleuronectes platessa
MW995374.1	Platichthys flesus
MW995373.1	Platichthys flesus
MW995369.1	Nerophis ophidion
MW995368.1	Nerophis ophidion
MW995367.1	Nerophis lumbriciformis
MW995366.1	Myoxocephalus scorpius
MW995363.1	Microstomus kitt
MW995362.1	Lycodes vahlii
MW995361.1	Lycenchelys sarsii
MW995360.1	Liparis montagui
MW995359.1	Liparis liparis
MW995358.1	Limanda limanda
MW995354.1	Hyperoplus lanceolatus
MW995353.1	Hyperoplus lanceolatus
MW995352.1	Hippocampus guttulatus
MW995351.1	Gymnammodytes semisquamatus
MW995350.1	Galeorhinus galeus
MW995349.1	Eutrigla gurnardus
MW995348.1	Entelurus aequoreus
MW995347.1	Enchelyopus cimbrius
MW995346.1	Dipturus intermedius
MW995345.1	Dipturus batis
MW995343.1	Conger conger
MW995341.1	Chelidonichthys lucerna
MW995340.1	Chelidonichthys cuculus
MW995339.1	Centrolophus niger
MW995338.1	Callionymus reticulatus
MW995337.1	Buglossidium luteum
MW995336.1	Belone belone
MW995335.1	Belone belone
MW995334.1	Atherina presbyter
MW995333.1	Ammodytes tobianus
MW995332.1	Ammodytes marinus
MH423742.1	Sarcogyps calvus
MH423741.1	Sarcogyps calvus
LC685943.1	Rhinobatos hynnicephalus
LC685941.1	Microcanthus strigatus
LC685940.1	Kareius bicoloratus
LC685939.1	Rexea prometheoides
LC685934.1	Epigonus atherinoides
LC685933.1	Neoniphon argenteus
LC685932.1	Symphurus orientalis
LC685931.1	Symphurus orientalis
LC685930.1	Hymenocephalus striatissimus
LC685929.1	Diaphus suborbitalis
LC685928.1	Pseudorhombus pentophthalmus
LC685927.1	Pennahia argentata
MZ790576.1	Protoblepharus apatani
MZ790575.1	Ablepharus pannonicus
MZ790574.1	Ablepharus nepalensis
MZ790573.1	Ablepharus sikimmensis
MZ790572.1	Ablepharus sikimmensis
MZ790571.1	Ablepharus sikimmensis
MZ790570.1	Ablepharus mahabharatus
MZ790569.1	Ablepharus ladacensis
MZ790568.1	Ablepharus deserti
MZ790567.1	Ablepharus eremchenkoi
MZ790566.1	Ablepharus alaicus
MZ790565.1	Ablepharus kitaibelii
MZ790564.1	Ablepharus mahabharatus
LC474254.3	Trimma marinae
LC672462.1	Eleotris acanthopomus
LC069781.3	Suruga fundicola
LC458172.2	Enchelyurus flavipes
LC421730.2	Pherallodus indicus
LC146182.2	Benthosema pterotum
LC499265.2	Hoplolatilus marcosi
LC499264.2	Hoplolatilus starcki
LC579327.2	Neoepinnula minetomai
OM509567.1	Entelurus aequoreus
OM509566.1	Leucoraja naevus
OM509565.1	Leucoraja fullonica
OM509564.1	Raja brachyura
OM509563.1	Raja undulata
OM509562.1	Raja clavata
OM509561.1	Raja microocellata
OM509560.1	Buglossidium luteum
OM509559.1	Raja montagui
OM509557.1	Alosa fallax
OM509556.1	Arnoglossus imperialis
OM509555.1	Anguilla anguilla
OM509554.1	Labrus bergylta
OM509553.1	Lipophrys pholis
OM509552.1	Hyperoplus immaculatus
OM509551.1	Symphodus bailloni
OM509550.1	Coryphoblennius galerita
OM509549.1	Engraulis encrasicolus
OM509547.1	Aphia minuta
OM509546.1	Chelidonichthys lucerna
OM509545.1	Gobius cobitis
OM509544.1	Tripterygion delaisi
OM509543.1	Centrolabrus exoletus
OM509541.1	Gobius niger
OM509539.1	Nerophis lumbriciformis
OM509537.1	Atherina presbyter
OM509536.1	Hippocampus hippocampus
OM509535.1	Taurulus bubalis
OM509534.1	Syngnathus typhle
OM509532.1	Merluccius merluccius
OM509531.1	Nerophis ophidion
OM509530.1	Lepadogaster lepadogaster
OM509529.1	Syngnathus acus
OM509528.1	Syngnathus rostellatus
LC681798.1	Fistularia petimba
LC681796.1	Ophichthus exourus
LC681795.1	Decapterus tabl
LC681794.1	Promethichthys prometheus
LC681793.1	Lophiodes insidiator
LC681792.1	Lophiodes insidiator
LC681791.1	Psammogobius biocellatus
LC681789.1	Hime japonica
LC681788.1	Fistularia commersonii
LC681787.1	Synodus variegatus
LC681786.1	Sphyraena pinguis
LC681785.1	Siganus fuscescens
LC681784.1	Japonolaeops gracilis
LC681783.1	Arnoglossus yamanakai
LC681782.1	Taeniopsetta ocellata
LC681781.1	Eleotris fusca
LC681780.1	Eleotris acanthopomus
LC681779.1	Eleotris melanosoma
LC681778.1	Eleotris fusca
LC681777.1	Eleotris oxycephala
LC681776.1	Stethojulis terina
LC681775.1	Diaphus suborbitalis
LC681774.1	Lampanyctus jordani
LC681772.1	Diaphus watasei
LC646902.1	Uraspis uraspis
LC646901.1	Uraspis uraspis
LC646900.1	Uraspis uraspis
LC646891.1	Trachurus japonicus
LC646890.1	Trachinotus baillonii
LC646889.1	Selene vomer
LC646888.1	Selar crumenophthalmus
LC646887.1	Selar boops
LC646885.1	Scomberoides lysan
LC646884.1	Pseudocaranx dentex
LC646883.1	Pseudocaranx dentex
LC646882.1	Carangoides talamparoides
LC646881.1	Carangoides malabaricus
LC646880.1	Carangoides malabaricus
LC646877.1	Parastromateus niger
LC646876.1	Megalaspis cordyla
LC646875.1	Carangoides equula
LC646874.1	Carangoides equula
LC646873.1	Gnathanodon speciosus
LC646869.1	Decapterus russelli
LC646868.1	Decapterus muroadsi
LC646867.1	Decapterus maruadsi
LC646866.1	Decapterus akaadsi
LC646864.1	Chloroscombrus chrysurus
LC646863.1	Caranx tille
LC646862.1	Caranx sexfasciatus
LC646861.1	Caranx senegallus
LC646860.1	Carangoides ruber
LC646859.1	Caranx papuensis
LC646858.1	Caranx melampygus
LC646857.1	Caranx lugubris
LC646856.1	Caranx ignobilis
